team1,team1score,team2,team2score,Week,Year
Minnesota Vikings,30, San Francisco 49ers,20,14,1968
New York Jets,27, Cincinnati Bengals,14,14,1968
Oakland Raiders,33, Denver Broncos,27,14,1968
Philadelphia Eagles,29, New Orleans Saints,17,14,1968
St. Louis Cardinals,28, New York Giants,21,14,1968
Baltimore Colts,28, Los Angeles Rams,24,15,1968
Dallas Cowboys,28, New York Giants,10,15,1968
Green Bay Packers,28, Chicago Bears,27,15,1968
Houston Oilers,45, Boston Patriots,17,15,1968
Kansas City Chiefs,30, Denver Broncos,7,15,1968
Minnesota Vikings,24, Philadelphia Eagles,17,15,1968
New Orleans Saints,24, Pittsburgh Steelers,14,15,1968
New York Jets,31, Miami Dolphins,7,15,1968
Oakland Raiders,34, San Diego Chargers,27,15,1968
San Francisco 49ers,14, Atlanta Falcons,12,15,1968
St. Louis Cardinals,27, Cleveland Browns,16,15,1968
Washington Redskins,14, Detroit Lions,3,15,1968
Oakland Raiders,41, Kansas City Chiefs,6,div,1968
New York Jets,16, Baltimore Colts,7,sb,1968
Cincinnati Bengals,27, Miami Dolphins,21,01,1969
Denver Broncos,35, Boston Patriots,7,01,1969
Kansas City Chiefs,27, San Diego Chargers,9,01,1969
New York Jets,33, Buffalo Bills,19,01,1969
Oakland Raiders,21, Houston Oilers,17,01,1969
Atlanta Falcons,24, San Francisco 49ers,12,02,1969
Cincinnati Bengals,34, San Diego Chargers,20,02,1969
Cleveland Browns,27, Philadelphia Eagles,20,02,1969
Dallas Cowboys,24, St. Louis Cardinals,3,02,1969
Denver Broncos,21, New York Jets,19,02,1969
Green Bay Packers,17, Chicago Bears,0,02,1969
Houston Oilers,17, Buffalo Bills,3,02,1969
Kansas City Chiefs,31, Boston Patriots,0,02,1969
Los Angeles Rams,27, Baltimore Colts,20,02,1969
New York Giants,24, Minnesota Vikings,23,02,1969
Oakland Raiders,20, Miami Dolphins,17,02,1969
Pittsburgh Steelers,16, Detroit Lions,13,02,1969
Washington Redskins,26, New Orleans Saints,20,02,1969
Buffalo Bills,41, Denver Broncos,28,03,1969
Cincinnati Bengals,24, Kansas City Chiefs,19,03,1969
Cleveland Browns,27, Washington Redskins,23,03,1969
Dallas Cowboys,21, New Orleans Saints,17,03,1969
Detroit Lions,24, New York Giants,0,03,1969
Green Bay Packers,14, San Francisco 49ers,7,03,1969
Houston Oilers,22, Miami Dolphins,10,03,1969
Los Angeles Rams,17, Atlanta Falcons,7,03,1969
Minnesota Vikings,52, Baltimore Colts,14,03,1969
Oakland Raiders,38, Boston Patriots,23,03,1969
Philadelphia Eagles,41, Pittsburgh Steelers,27,03,1969
San Diego Chargers,34, New York Jets,27,03,1969
St. Louis Cardinals,20, Chicago Bears,17,03,1969
Baltimore Colts,21, Atlanta Falcons,14,04,1969
Dallas Cowboys,38, Philadelphia Eagles,7,04,1969
Detroit Lions,28, Cleveland Browns,21,04,1969
Houston Oilers,28, Buffalo Bills,14,04,1969
Kansas City Chiefs,26, Denver Broncos,13,04,1969
Los Angeles Rams,36, New Orleans Saints,17,04,1969
Miami Dolphins,20, Oakland Raiders,20,04,1969
Minnesota Vikings,19, Green Bay Packers,7,04,1969
New York Giants,28, Chicago Bears,24,04,1969
New York Jets,23, Boston Patriots,14,04,1969
San Diego Chargers,21, Cincinnati Bengals,14,04,1969
San Francisco 49ers,17, Washington Redskins,17,04,1969
St. Louis Cardinals,27, Pittsburgh Steelers,14,04,1969
Baltimore Colts,24, Philadelphia Eagles,20,05,1969
Buffalo Bills,23, Boston Patriots,16,05,1969
Cleveland Browns,27, New Orleans Saints,17,05,1969
Dallas Cowboys,24, Atlanta Falcons,17,05,1969
Green Bay Packers,28, Detroit Lions,17,05,1969
Kansas City Chiefs,24, Houston Oilers,0,05,1969
Los Angeles Rams,27, San Francisco 49ers,21,05,1969
Minnesota Vikings,31, Chicago Bears,0,05,1969
New York Giants,10, Pittsburgh Steelers,7,05,1969
New York Jets,21, Cincinnati Bengals,7,05,1969
Oakland Raiders,24, Denver Broncos,14,05,1969
San Diego Chargers,21, Miami Dolphins,14,05,1969
Washington Redskins,33, St. Louis Cardinals,17,05,1969
Atlanta Falcons,21, San Francisco 49ers,7,06,1969
Baltimore Colts,30, New Orleans Saints,10,06,1969
Cleveland Browns,42, Pittsburgh Steelers,31,06,1969
Dallas Cowboys,49, Philadelphia Eagles,14,06,1969
Denver Broncos,30, Cincinnati Bengals,23,06,1969
Detroit Lions,13, Chicago Bears,7,06,1969
Kansas City Chiefs,17, Miami Dolphins,10,06,1969
Los Angeles Rams,34, Green Bay Packers,21,06,1969
Minnesota Vikings,27, St. Louis Cardinals,10,06,1969
New York Jets,26, Houston Oilers,17,06,1969
Oakland Raiders,50, Buffalo Bills,21,06,1969
San Diego Chargers,13, Boston Patriots,10,06,1969
Washington Redskins,20, New York Giants,14,06,1969
Cleveland Browns,21, St. Louis Cardinals,21,07,1969
Dallas Cowboys,25, New York Giants,3,07,1969
Green Bay Packers,28, Atlanta Falcons,10,07,1969
Houston Oilers,24, Denver Broncos,21,07,1969
Kansas City Chiefs,42, Cincinnati Bengals,22,07,1969
Los Angeles Rams,9, Chicago Bears,7,07,1969
Miami Dolphins,24, Buffalo Bills,6,07,1969
Minnesota Vikings,24, Detroit Lions,10,07,1969
New York Jets,23, Boston Patriots,17,07,1969
Oakland Raiders,24, San Diego Chargers,12,07,1969
Philadelphia Eagles,13, New Orleans Saints,10,07,1969
San Francisco 49ers,24, Baltimore Colts,21,07,1969
Washington Redskins,14, Pittsburgh Steelers,7,07,1969
Baltimore Colts,41, Washington Redskins,17,08,1969
Boston Patriots,24, Houston Oilers,0,08,1969
Cincinnati Bengals,31, Oakland Raiders,17,08,1969
Cleveland Browns,42, Dallas Cowboys,10,08,1969
Denver Broncos,13, San Diego Chargers,0,08,1969
Detroit Lions,26, San Francisco 49ers,14,08,1969
Green Bay Packers,38, Pittsburgh Steelers,34,08,1969
Kansas City Chiefs,29, Buffalo Bills,7,08,1969
Los Angeles Rams,38, Atlanta Falcons,6,08,1969
Minnesota Vikings,31, Chicago Bears,14,08,1969
New Orleans Saints,51, St. Louis Cardinals,42,08,1969
New York Jets,34, Miami Dolphins,31,08,1969
Philadelphia Eagles,23, New York Giants,20,08,1969
Baltimore Colts,14, Green Bay Packers,6,09,1969
Chicago Bears,38, Pittsburgh Steelers,7,09,1969
Dallas Cowboys,33, New Orleans Saints,17,09,1969
Detroit Lions,27, Atlanta Falcons,21,09,1969
Houston Oilers,31, Cincinnati Bengals,31,09,1969
Kansas City Chiefs,27, San Diego Chargers,3,09,1969
Los Angeles Rams,41, San Francisco 49ers,30,09,1969
Miami Dolphins,17, Boston Patriots,16,09,1969
Minnesota Vikings,51, Cleveland Browns,3,09,1969
New York Jets,16, Buffalo Bills,6,09,1969
Oakland Raiders,41, Denver Broncos,10,09,1969
St. Louis Cardinals,42, New York Giants,17,09,1969
Washington Redskins,28, Philadelphia Eagles,28,09,1969
Atlanta Falcons,48, Chicago Bears,31,10,1969
Boston Patriots,25, Cincinnati Bengals,14,10,1969
Buffalo Bills,28, Miami Dolphins,3,10,1969
Cleveland Browns,24, Pittsburgh Steelers,3,10,1969
Dallas Cowboys,41, Washington Redskins,28,10,1969
Denver Broncos,20, Houston Oilers,20,10,1969
Detroit Lions,20, St. Louis Cardinals,0,10,1969
Kansas City Chiefs,34, New York Jets,16,10,1969
Los Angeles Rams,23, Philadelphia Eagles,17,10,1969
Minnesota Vikings,9, Green Bay Packers,7,10,1969
New Orleans Saints,25, New York Giants,24,10,1969
Oakland Raiders,21, San Diego Chargers,16,10,1969
San Francisco 49ers,20, Baltimore Colts,17,10,1969
Baltimore Colts,24, Chicago Bears,21,11,1969
Boston Patriots,35, Buffalo Bills,21,11,1969
Cleveland Browns,28, New York Giants,17,11,1969
Detroit Lions,16, Green Bay Packers,10,11,1969
Houston Oilers,32, Miami Dolphins,7,11,1969
Los Angeles Rams,24, Dallas Cowboys,23,11,1969
Minnesota Vikings,52, Pittsburgh Steelers,14,11,1969
New Orleans Saints,43, San Francisco 49ers,38,11,1969
New York Jets,40, Cincinnati Bengals,7,11,1969
Oakland Raiders,27, Kansas City Chiefs,24,11,1969
Philadelphia Eagles,34, St. Louis Cardinals,30,11,1969
San Diego Chargers,45, Denver Broncos,24,11,1969
Washington Redskins,27, Atlanta Falcons,20,11,1969
Baltimore Colts,13, Atlanta Falcons,6,12,1969
Boston Patriots,38, Miami Dolphins,23,12,1969
Buffalo Bills,16, Cincinnati Bengals,13,12,1969
Cleveland Browns,28, Chicago Bears,24,12,1969
Dallas Cowboys,24, San Francisco 49ers,24,12,1969
Dallas Cowboys,10, Pittsburgh Steelers,7,12,1969
Green Bay Packers,20, New York Giants,10,12,1969
Kansas City Chiefs,31, Denver Broncos,17,12,1969
Los Angeles Rams,24, Washington Redskins,13,12,1969
Minnesota Vikings,27, Detroit Lions,0,12,1969
New Orleans Saints,26, Philadelphia Eagles,17,12,1969
Oakland Raiders,27, New York Jets,14,12,1969
San Diego Chargers,21, Houston Oilers,17,12,1969
St. Louis Cardinals,47, Pittsburgh Steelers,10,12,1969
Atlanta Falcons,45, New Orleans Saints,17,13,1969
Baltimore Colts,17, Detroit Lions,17,13,1969
Cleveland Browns,20, Green Bay Packers,7,13,1969
Kansas City Chiefs,22, Buffalo Bills,19,13,1969
Miami Dolphins,27, Denver Broncos,24,13,1969
Minnesota Vikings,20, Los Angeles Rams,13,13,1969
New York Giants,49, St. Louis Cardinals,6,13,1969
New York Jets,34, Houston Oilers,26,13,1969
Oakland Raiders,37, Cincinnati Bengals,17,13,1969
San Diego Chargers,28, Boston Patriots,18,13,1969
San Francisco 49ers,42, Chicago Bears,21,13,1969
Washington Redskins,34, Philadelphia Eagles,29,13,1969
Atlanta Falcons,27, Philadelphia Eagles,3,14,1969
Cleveland Browns,27, St. Louis Cardinals,21,14,1969
Dallas Cowboys,27, Baltimore Colts,10,14,1969
Denver Broncos,27, Cincinnati Bengals,16,14,1969
Detroit Lions,28, Los Angeles Rams,0,14,1969
Green Bay Packers,21, Chicago Bears,3,14,1969
Houston Oilers,27, Boston Patriots,23,14,1969
Minnesota Vikings,10, San Francisco 49ers,7,14,1969
New York Giants,21, Pittsburgh Steelers,17,14,1969
New York Jets,27, Miami Dolphins,9,14,1969
Oakland Raiders,10, Kansas City Chiefs,6,14,1969
San Diego Chargers,45, Buffalo Bills,6,14,1969
Washington Redskins,17, New Orleans Saints,14,14,1969
Atlanta Falcons,10, Minnesota Vikings,3,15,1969
Baltimore Colts,13, Los Angeles Rams,7,15,1969
Dallas Cowboys,20, Washington Redskins,10,15,1969
Detroit Lions,20, Chicago Bears,3,15,1969
Green Bay Packers,45, St. Louis Cardinals,28,15,1969
New Orleans Saints,27, Pittsburgh Steelers,24,15,1969
New York Giants,27, Cleveland Browns,14,15,1969
San Francisco 49ers,14, Philadelphia Eagles,13,15,1969
Kansas City Chiefs,13, New York Jets,6,div,1969
Oakland Raiders,56, Houston Oilers,7,div,1969
Cleveland Browns,38, Dallas Cowboys,14,conf,1969
Kansas City Chiefs,17, Oakland Raiders,7,conf,1969
Minnesota Vikings,27, Cleveland Browns,7,conf,1969
Minnesota Vikings,23, Los Angeles Rams,20,conf,1969
Kansas City Chiefs,23, Minnesota Vikings,7,sb,1969
Atlanta Falcons,14, New Orleans Saints,3,01,1970
Baltimore Colts,16, San Diego Chargers,14,01,1970
Boston Patriots,27, Miami Dolphins,14,01,1970
Chicago Bears,24, New York Giants,16,01,1970
Cincinnati Bengals,31, Oakland Raiders,21,01,1970
Cleveland Browns,31, New York Jets,21,01,1970
Dallas Cowboys,17, Philadelphia Eagles,7,01,1970
Denver Broncos,25, Buffalo Bills,10,01,1970
Detroit Lions,40, Green Bay Packers,0,01,1970
Houston Oilers,19, Pittsburgh Steelers,7,01,1970
Los Angeles Rams,34, St. Louis Cardinals,13,01,1970
Minnesota Vikings,27, Kansas City Chiefs,10,01,1970
San Francisco 49ers,26, Washington Redskins,17,01,1970
Chicago Bears,20, Philadelphia Eagles,16,02,1970
Dallas Cowboys,28, New York Giants,10,02,1970
Denver Broncos,16, Pittsburgh Steelers,13,02,1970
Detroit Lions,38, Cincinnati Bengals,3,02,1970
Green Bay Packers,27, Atlanta Falcons,24,02,1970
Kansas City Chiefs,44, Baltimore Colts,24,02,1970
Los Angeles Rams,19, Buffalo Bills,0,02,1970
Miami Dolphins,20, Houston Oilers,10,02,1970
Minnesota Vikings,26, New Orleans Saints,0,02,1970
New York Jets,31, Boston Patriots,21,02,1970
San Diego Chargers,27, Oakland Raiders,27,02,1970
San Francisco 49ers,34, Cleveland Browns,31,02,1970
St. Louis Cardinals,27, Washington Redskins,17,02,1970
Atlanta Falcons,21, San Francisco 49ers,20,03,1970
Baltimore Colts,14, Boston Patriots,6,03,1970
Buffalo Bills,34, New York Jets,31,03,1970
Cleveland Browns,15, Pittsburgh Steelers,7,03,1970
Denver Broncos,26, Kansas City Chiefs,13,03,1970
Detroit Lions,28, Chicago Bears,14,03,1970
Green Bay Packers,13, Minnesota Vikings,10,03,1970
Houston Oilers,20, Cincinnati Bengals,13,03,1970
Los Angeles Rams,37, San Diego Chargers,10,03,1970
Miami Dolphins,20, Oakland Raiders,13,03,1970
New Orleans Saints,14, New York Giants,10,03,1970
St. Louis Cardinals,20, Dallas Cowboys,7,03,1970
Washington Redskins,33, Philadelphia Eagles,21,03,1970
Baltimore Colts,24, Houston Oilers,20,04,1970
Cleveland Browns,30, Cincinnati Bengals,27,04,1970
Dallas Cowboys,13, Atlanta Falcons,0,04,1970
Green Bay Packers,22, San Diego Chargers,20,04,1970
Kansas City Chiefs,23, Boston Patriots,10,04,1970
Miami Dolphins,20, New York Jets,6,04,1970
Minnesota Vikings,24, Chicago Bears,0,04,1970
New York Giants,30, Philadelphia Eagles,23,04,1970
Oakland Raiders,35, Denver Broncos,23,04,1970
Pittsburgh Steelers,23, Buffalo Bills,10,04,1970
San Francisco 49ers,20, Los Angeles Rams,6,04,1970
St. Louis Cardinals,24, New Orleans Saints,17,04,1970
Washington Redskins,31, Detroit Lions,10,04,1970
Baltimore Colts,29, New York Jets,22,05,1970
Denver Broncos,24, Atlanta Falcons,10,05,1970
Detroit Lions,41, Cleveland Browns,24,05,1970
Kansas City Chiefs,27, Cincinnati Bengals,19,05,1970
Los Angeles Rams,31, Green Bay Packers,21,05,1970
Miami Dolphins,33, Buffalo Bills,14,05,1970
Minnesota Vikings,54, Dallas Cowboys,13,05,1970
New York Giants,16, Boston Patriots,0,05,1970
Oakland Raiders,34, Washington Redskins,20,05,1970
Pittsburgh Steelers,7, Houston Oilers,3,05,1970
San Diego Chargers,20, Chicago Bears,7,05,1970
San Francisco 49ers,20, New Orleans Saints,20,05,1970
St. Louis Cardinals,35, Philadelphia Eagles,20,05,1970
Atlanta Falcons,32, New Orleans Saints,14,06,1970
Baltimore Colts,27, Boston Patriots,3,06,1970
Buffalo Bills,10, New York Jets,6,06,1970
Cleveland Browns,28, Miami Dolphins,0,06,1970
Dallas Cowboys,27, Kansas City Chiefs,16,06,1970
Detroit Lions,16, Chicago Bears,10,06,1970
Green Bay Packers,30, Philadelphia Eagles,17,06,1970
Minnesota Vikings,13, Los Angeles Rams,3,06,1970
New York Giants,35, St. Louis Cardinals,17,06,1970
Oakland Raiders,31, Pittsburgh Steelers,14,06,1970
San Diego Chargers,31, Houston Oilers,31,06,1970
San Francisco 49ers,19, Denver Broncos,14,06,1970
Washington Redskins,20, Cincinnati Bengals,0,06,1970
Baltimore Colts,35, Miami Dolphins,0,07,1970
Buffalo Bills,45, Boston Patriots,10,07,1970
Chicago Bears,23, Atlanta Falcons,14,07,1970
Dallas Cowboys,21, Philadelphia Eagles,17,07,1970
Kansas City Chiefs,17, Oakland Raiders,17,07,1970
Los Angeles Rams,30, New Orleans Saints,17,07,1970
Minnesota Vikings,30, Detroit Lions,17,07,1970
New York Giants,22, New York Jets,10,07,1970
Pittsburgh Steelers,21, Cincinnati Bengals,10,07,1970
San Diego Chargers,27, Cleveland Browns,10,07,1970
